PASSENGERS,UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
5230.00,UA,United Air Lines Inc.,14771,SFO,13252,MEX,698,9
5232.00,AA,American Airlines Inc.,11290,DEL,12478,JFK,637,2
5232.00,AA,American Airlines Inc.,12478,JFK,10920,CDG,627,2
5233.00,AA,American Airlines Inc.,11298,DFW,11760,FRA,887,4
5233.00,AA,American Airlines Inc.,12010,GUA,11298,DFW,614,4
5233.00,AA,American Airlines Inc.,14100,PHL,13180,MBJ,699,10
5233.00,DL,Delta Air Lines Inc.,13252,MEX,12478,JFK,622,1
5234.00,PT,Piedmont Airlines,14100,PHL,16271,YYZ,675,7
5235.00,UA,United Air Lines Inc.,13930,ORD,11032,CUN,839,5
5235.00,UA,United Air Lines Inc.,14771,SFO,13243,MEL,889,5
5236.00,AA,American Airlines Inc.,13303,MIA,11164,CTG,614,5
5236.00,B6,JetBlue Airways,12478,JFK,15084,SXM,699,3
5236.00,DL,Delta Air Lines Inc.,14293,PUJ,12478,JFK,888,7
5237.00,HA,Hawaiian Airlines Inc.,12173,HNL,12277,ICN,696,8
5237.00,UA,United Air Lines Inc.,12264,IAD,10292,AMS,887,10
5238.00,AS,Alaska Airlines Inc.,14747,SEA,11032,CUN,721,3
5238.00,DL,Delta Air Lines Inc.,12478,JFK,13252,MEX,622,6
5238.00,UA,United Air Lines Inc.,10549,BER,11618,EWR,626,5
5238.00,UA,United Air Lines Inc.,12266,IAH,14293,PUJ,888,3
5238.00,UA,United Air Lines Inc.,14312,PVR,11292,DEN,694,1
5238.00,WN,Southwest Airlines Co.,14832,SJD,12191,HOU,612,8
5238.00,YV,Mesa Airlines Inc.,16271,YYZ,12264,IAD,673,5
5239.00,AA,American Airlines Inc.,13303,MIA,14210,POS,838,9
5239.00,DL,Delta Air Lines Inc.,11032,CUN,14747,SEA,622,4
5239.00,NK,Spirit Air Lines,11032,CUN,11298,DFW,699,10
5239.00,NK,Spirit Air Lines,14681,SAP,11697,FLL,699,1
